Timestamp,Quantas horas por noite você dorme DURANTE A SEMANA em média? ,Quantas horas por noite você dorme durante NO FIM DE SEMANA em média? ,Quantas disciplinas você está cursando esse semestre? ,Quantas xícaras de café você tomou ontem? ,Quantas pessoas você segue no github? ,Quantas pessoas seguem você no github? ,Você está dois períodos ou menos de concluir?
5/24/2019 11:49:02,7,8,5,4,14,11,Sim
5/24/2019 11:49:06,6,9,6,0,97,76,Não
5/24/2019 11:49:06,6,9,4,0,68,71,Não
5/24/2019 11:49:16,7,7,5,0,22,28,Sim
5/24/2019 11:49:17,4,8,4,0,40,33,Não
5/24/2019 11:49:19,7,8,6,2,19,9,Não
5/24/2019 11:49:22,4,8,4,0,40,33,Não
5/24/2019 11:49:24,4,6,6,5,74,74,Sim
5/24/2019 11:49:25,7,7,5,2,2,13,Sim
5/24/2019 11:49:26,6,8,5,2,16,45,Não
5/24/2019 11:49:28,7,8,5,0,12,12,Não
5/24/2019 11:49:29,6,8,6,2,14,10,Não
5/24/2019 11:49:42,6,7,5,2,0,0,Não
5/24/2019 11:49:43,7,9,6,2,10,9,Não
5/24/2019 11:49:52,5,9,5,5,100,72,Não
5/24/2019 11:49:55,5,8,5,3,4,5,Não
5/24/2019 11:49:58,7,7,5,0,2,5,Não
5/24/2019 11:49:58,8,10,6,4,32,17,Sim
5/24/2019 11:50:04,7,9,5,4,10,12,Não
5/24/2019 11:50:15,7,8,8,1,4,3,Sim
5/24/2019 11:51:30,7,10,5,0,42,32,Não
