Cod_setor,Situacao,Tipo_do_setor,V2248,V2249,V2250,V2251,V2252,V2253,V2254,V2255,V2256,V2257,V2258,V2259,V2260,V2261,V2262,V2263,V2264,V2265,V2266,V2267,V2268,V2269,V2270,V2271,V2272,V2273,V2274,V2275,V2276,V2277,V2278,V2279,V2280,V2281,V2282,V2283,V2284,V2285,V2286,V2287,V2288,V2289,V2290,V2291,V2292,V2293,V2294,V2295,V2296,V2297,V2298,V2299,V2300,V2301,V2302,V2303,V2304,V2305,V2306,V2307,V2308,V2309,V2310,V2311,V2312,V2313,V2314,V2315,V2316,V2317,V2318,V2319,V2320,V2321,V2322,V2323,V2324,V2325,V2326,V2327,V2328,V2329,V2330,V2331,V2332,V2333,V2334,V2335,V2336,V2337,V2338,V2339,V2340,V2341,V2342,V2343,V2344,V2345,V2346,V2347,V2348,V2349,V2350,V2351,V2352,V2353,V2354,V2355,V2356,V2357,V2358,V2359,V2360,V2361,V2362,V2363,V2364,V2365,V2366,V2367,V2368,V2369,V2370,V2371,V2372,V2373,V2374,V2375,V2376,V2377,V2378,V2379,V2380,V2381,V2382,V2383,V2384,V2385,V2386,V2387,V2388,V2389,V2390,V2391,V2392,V2393,V2394,V2395,V2396,V2397,V2398,V2399,V2400,V2401,V2402,V2403,V2404,V2405,V2406,V2407,V2408,V2409,V2410,V2411,V2412,V2413,V2414,V2415,V2416,V2417,V2418,V2419,V2420,V2421,V2422,V2423,V2424,V2425,V2426,V2427,V2428,V2429,V2430,V2431,V2432,V2433
250010605000001,1,0,506,348,1,6,10,13,18,22,14,22,19,17,20,17,13,17,15,16,14,15,8,8,15,11,5,11,9,4,7,12,14,9,8,10,6,6,6,3,1,3,1,2,4,1,2,5,1,1,2,3,2,5,2,0,2,6,4,2,2,2,2,5,2,4,3,2,0,2,4,1,0,1,1,0,2,0,1,2,48,94,82,61,51,46,36,10,13,13,14,13,11,8,4,2,29,11,11,5,3,3,7,2,4,3,4,6,3,4,3,0,1,6,3,2,4,4,8,2,1,1,9,6,2,3,3,7,5,3,2,6,4,2,1,3,6,3,2,2,2,4,7,6,4,5,2,5,4,7,5,7,4,3,6,8,4,4,3,7,1,5,1,5,3,4,7,3,6,1,1,15,59,19,20,12,19,21,20,16,15,26,23,28,19,18,18,15
250010605000002,1,0,782,270,0,14,11,21,20,22,28,17,28,28,21,21,17,22,19,17,18,25,20,17,19,15,22,13,16,19,16,14,14,24,16,14,9,5,5,7,5,10,5,7,9,8,5,6,9,6,2,2,6,7,2,9,5,6,6,5,2,3,5,3,3,4,1,3,2,7,0,1,1,1,2,0,1,2,0,7,66,123,100,97,85,87,49,34,37,23,28,18,13,10,5,7,40,7,6,4,8,7,1,2,1,3,1,1,2,2,5,1,0,3,3,7,2,3,3,4,3,1,2,3,4,5,2,4,5,4,3,2,0,2,4,6,0,3,1,5,1,0,4,3,6,3,5,3,2,3,3,7,7,6,1,3,1,3,1,1,4,3,3,3,3,3,2,3,0,1,1,6,65,14,11,14,15,15,18,14,10,16,16,24,10,15,7,6
250010605000003,1,0,702,200,2,12,10,15,16,17,17,18,19,15,19,19,22,23,13,14,12,11,8,21,12,9,13,8,12,13,16,11,15,9,10,12,7,7,4,9,9,15,8,8,6,16,4,4,6,8,4,8,8,4,8,4,5,4,6,6,6,5,2,5,2,4,4,5,4,3,6,1,9,3,4,6,1,1,3,17,55,86,96,66,54,64,40,49,36,32,27,24,19,22,15,17,14,8,6,1,4,0,2,0,2,0,4,1,1,1,1,2,0,1,0,1,0,1,1,1,1,0,1,1,0,1,2,3,2,1,2,3,2,1,1,2,4,7,3,4,1,6,1,1,0,6,3,3,2,2,3,1,0,3,2,6,3,5,3,5,0,6,3,5,5,3,4,2,1,0,0,22,33,4,8,4,4,3,10,9,19,14,13,12,16,22,7,22
250010605000004,8,0,627,586,0,0,7,14,11,21,20,27,32,44,35,25,30,30,31,22,13,15,10,11,16,7,15,8,5,7,10,7,12,11,8,6,5,4,6,3,1,7,4,4,2,2,7,2,4,4,2,3,8,6,2,3,7,0,4,4,1,1,4,3,3,1,0,1,1,3,0,0,1,0,1,0,0,0,2,1,32,144,151,71,51,47,29,19,17,23,16,13,6,4,3,1,44,23,31,20,23,27,14,6,7,0,5,3,3,4,5,7,4,3,9,4,7,8,8,2,10,5,6,10,5,7,10,12,11,8,9,10,9,10,6,10,9,8,5,9,9,9,3,10,10,5,6,4,8,8,12,8,4,2,2,1,4,2,1,3,2,6,4,2,1,2,1,1,3,1,1,15,141,54,20,27,35,33,50,45,40,37,38,17,12,15,7,15
250010605000005,5,0,339,226,0,2,2,2,12,17,19,21,24,24,12,16,13,12,14,11,9,3,4,6,4,0,4,5,2,7,0,4,2,4,2,2,5,6,2,7,0,2,4,4,5,4,2,6,2,2,1,6,4,1,0,1,2,2,0,3,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,18,105,67,33,15,17,17,17,19,14,5,6,4,0,0,2,20,19,11,8,7,3,3,1,0,5,1,2,0,0,2,5,2,4,2,2,1,3,1,1,1,5,1,3,4,3,7,3,5,5,3,2,1,5,1,4,4,1,1,2,4,1,0,2,6,4,4,3,2,3,2,0,2,1,4,0,0,1,0,2,1,0,5,2,0,5,2,1,1,0,1,3,65,12,5,15,7,16,23,13,12,13,14,7,4,12,5,3
250010605000006,8,0,224,104,1,2,8,5,5,11,5,11,11,9,13,7,9,8,8,6,4,9,7,3,5,3,4,1,4,2,2,1,4,0,2,2,3,1,2,4,2,2,2,3,2,0,4,2,2,1,1,1,1,3,0,0,1,0,0,1,0,2,1,0,0,0,1,1,0,2,0,0,0,1,0,1,0,1,0,4,21,47,45,29,17,9,10,13,10,7,1,4,2,3,2,4,15,7,4,2,0,0,0,1,0,1,1,0,1,1,1,1,2,0,0,2,0,0,0,3,0,3,0,0,1,1,2,0,3,0,1,0,2,2,1,2,0,1,3,1,1,3,1,1,0,0,1,3,2,1,2,1,1,0,1,0,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,9,28,2,4,5,3,5,6,7,6,5,9,3,4,6,2,9
250010605000007,8,0,242,62,5,7,6,7,6,14,8,5,9,7,10,9,10,5,11,11,5,7,2,2,1,1,2,3,4,3,3,2,3,5,7,2,4,1,3,1,0,0,1,0,0,3,2,2,2,3,2,5,4,0,0,2,4,2,4,2,3,1,1,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,31,43,45,27,11,16,17,2,9,14,12,8,2,2,1,2,6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,1,1,1,2,0,1,1,0,2,1,1,2,1,1,0,0,1,3,1,2,1,2,1,2,1,2,1,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,5,10,0,2,2,2,1,5,4,7,5,7,6,2,4,0,5
250010605000008,8,0,266,213,0,1,5,9,7,9,15,17,13,21,13,9,12,8,10,8,5,3,1,4,2,3,4,2,3,4,1,2,5,1,8,2,0,4,2,2,3,2,2,3,4,4,4,1,1,2,0,4,5,0,0,0,0,2,2,1,0,0,1,0,2,0,1,0,1,1,0,0,3,0,1,0,0,0,0,1,22,75,52,21,14,13,16,12,14,11,4,2,4,4,1,1,16,9,7,15,6,1,5,1,1,1,0,2,4,0,2,0,4,3,4,3,3,7,2,1,2,6,2,5,1,4,6,4,1,6,3,1,3,4,0,3,1,2,3,2,2,3,2,3,1,1,2,2,6,1,2,2,1,2,2,1,1,1,1,3,7,0,0,1,2,2,1,1,1,1,1,1,53,9,8,14,15,18,20,11,10,10,13,8,13,5,5,1
250010605000009,8,0,561,568,0,3,5,13,24,22,30,28,27,27,19,19,26,23,20,18,9,8,9,7,5,5,11,8,6,16,10,8,6,8,9,12,8,9,6,6,2,7,4,7,3,5,3,3,3,1,2,5,3,2,1,0,3,2,4,2,4,5,0,0,1,4,2,1,1,3,0,1,1,1,1,0,1,0,0,3,45,134,107,51,35,48,44,26,17,13,10,11,9,6,2,3,45,32,35,32,28,13,16,15,12,9,2,5,1,4,2,7,6,5,4,4,4,7,6,3,8,9,5,4,18,10,3,9,6,8,5,11,6,6,4,2,4,7,9,4,4,4,2,2,10,1,4,5,4,6,10,7,7,6,3,5,5,4,3,2,4,4,2,5,1,2,4,3,3,0,1,10,172,65,14,26,28,46,31,29,28,19,29,28,18,14,11,10
250010605000010,8,0,184,336,0,1,1,1,8,10,7,11,12,13,13,7,8,6,7,4,1,4,6,5,4,3,4,1,4,3,5,3,1,3,2,1,1,1,0,2,2,0,0,1,1,0,2,0,0,1,2,1,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,11,53,41,20,16,15,5,5,3,5,2,4,0,1,2,1,21,17,14,16,16,8,9,9,4,6,3,5,8,8,3,4,5,5,5,6,3,5,6,3,5,7,6,7,3,2,4,6,4,5,2,6,1,4,1,5,3,4,3,0,2,3,3,2,4,2,3,2,2,1,3,3,2,6,4,1,4,5,2,0,1,3,1,0,0,1,2,3,1,0,0,3,84,36,27,25,22,25,21,17,12,14,11,16,12,5,6,3
